date_start,date_end,type_chs,location,region,season_type,damage_rub
2013-07-27,2013-07-29,Паводок,(р. Яна),Республика Саха (Якутия),другой,
2013-07-27,2013-07-30,Паводок,(р. Индигирка),Республика Саха (Якутия),другой,
2013-07-28,2013-07-30,Паводок,(р. Индигирка),Республика Саха (Якутия),другой,
2014-05-03,2014-05-06,Затор,(р. Амга),Республика Саха (Якутия),весенний,
2014-05-28,2014-06-12,Половодье,"(р Колыма Верхнеколымский р-н, п. Зырянка)",Республика Саха (Якутия),весенний,
2014-06-01,2014-06-03,Чрезвычайная пожароопасность,,Республика Саха (Якутия),весенний,
2014-06-07,2014-06-07,Половодье,(р. Колыма),Республика Саха (Якутия),весенний,
2014-06-24,2014-06-30,Чрезвычайная пожароопасность,,Республика Саха (Якутия),весенний,
2014-07-04,2014-07-06,Дождь,,Республика Саха (Якутия),другой,
2014-07-12,2014-07-27,Чрезвычайная пожароопасность,,Республика Саха (Якутия),другой,
2014-07-29,2014-08-26,Чрезвычайная пожароопасность,,Республика Саха (Якутия),другой,
2015-05-13,2015-05-13,Затор,(р. Лена п. Табага),Республика Саха (Якутия),весенний,
2015-05-25,2015-05-25,Чрезвычайная пожароопасность,,Республика Саха (Якутия),весенний,
2015-07-21,2015-07-27,Чрезвычайная пожароопасность,,Республика Саха (Якутия),другой,
2015-08-23,2015-08-27,Чрезвычайная пожароопасность,(Алданский район),Республика Саха (Якутия),другой,
2016-06-09,2016-09-18,Чрезвычайная пожароопасность,(Алданский и Нерюнгринский р-ны),Республика Саха (Якутия),весенний,
2016-08-01,2016-08-01,Дождь,(МП Тонгулах),Республика Саха (Якутия),другой,
2017-06-30,2017-07-31,Чрезвычайная пожароопасность,"(Амгинский район, Усть-Алданский район Горный, Хангаласский, Чурапчинский районы, Вилюйский, Верхневилюйский, Жиганский районы)",Республика Саха (Якутия),весенний,
2017-07-01,2017-10-27,Половодье,"р.Алазея –(с.Сватай, с.Аргахтах Среднеколымский район, с.Андрюшкино
Нижнеколымский район)",Республика Саха (Якутия),другой,
2018-05-07,2018-07-01,Половодье,,Республика Саха (Якутия),весенний,
2018-05-07,2018-05-07,Затор,,Республика Саха (Якутия),весенний,
2018-05-14,2018-05-18,Затор,(сТабага - р.Лена),Республика Саха (Якутия),весенний,
2018-05-14,2018-05-14,Затор,(п.Эльдикан - р.Алдан),Республика Саха (Якутия),весенний,
2018-05-19,2018-05-22,Затор,п.Сангар - р.Лена),Республика Саха (Якутия),весенний,
2018-05-24,2018-05-24,Затор,,Республика Саха (Якутия),весенний,
2018-05-25,2018-06-06,Половодье,,Республика Саха (Якутия),весенний,
2018-05-27,2018-05-27,Затор,(п.Жиганск - р.Лена),Республика Саха (Якутия),весенний,
2018-06-08,2018-07-23,Чрезвычайная пожароопасность,,Республика Саха (Якутия),весенний,
2018-07-03,2018-07-12,Аномально-жаркая погода,,Республика Саха (Якутия),другой,
2020-05-13,2020-05-14,Паводок, (р. Лена),Республика Саха (Якутия),весенний,
2020-05-20,2020-05-21,Затор,(р.Колыма г.Среднеколымск),Республика Саха (Якутия),весенний,
2020-05-27,2020-07-01,Чрезвычайная пожароопасность,,Республика Саха (Якутия),весенний,
2021-05-21,2021-05-21,Затор,(р. Колыма -г. Среднеколымск),Республика Саха (Якутия),весенний,
2021-05-31,2021-07-27,Чрезвычайная пожароопасность,"(Амгинский, Вилюйский, Намский, Мирнинский, 8 районов)",Республика Саха (Якутия),весенний,
2021-08-01,2021-08-19,Чрезвычайная пожароопасность,"(г.Якутск и окрестности, Намский, Алданском, Горный, Усть-Алданский, Чурапчинский, Томпонский, Усть-Майский, Нюрбинский, Амгинском, Жиганский)",Республика Саха (Якутия),другой,
2022-05-23,2022-05-24,Половодье,"(р. Лена, г.п. Графский берег",Республика Саха (Якутия),весенний,
2022-06-29,2022-06-29,Чрезвычайная пожароопасность,"(г. Якутск, Намский, Алданский, Верхневилюйский Нюрбинский, районы).
г. Якутск, Намский, Алданский, ВерхневилюйскийНюрбинский, районы).",Республика Саха (Якутия),весенний,
2022-07-14,2022-07-20,Паводок,(р. Яна),Республика Саха (Якутия),другой,
2022-10-24,2022-10-24,Ветер,"(Жиганский, Мирнинский районы)",Республика Саха (Якутия),осенний,
2023-05-17,2023-05-26,Половодье," (р. Колыма,  ГП Зырянка)",Республика Саха (Якутия),весенний,
2023-05-21,2023-05-23,Половодье,"(р. Лена,  ГП Сангар).",Республика Саха (Якутия),весенний,
2023-05-31,2023-06-01,Половодье,"(р. Анабар,  ГП Саскылах)",Республика Саха (Якутия),весенний,
2023-06-19,2023-06-20,Чрезвычайная пожароопасность,"(Усть-Майский район, Эвено- Бытантайский район)",Республика Саха (Якутия),весенний,
2023-07-01,2023-07-31,Чрезвычайная пожароопасность,,Республика Саха (Якутия),другой,
2023-08-04,2023-08-30,Чрезвычайная пожароопасность,,Республика Саха (Якутия),другой,
2024-03-01,2024-03-02,Ветер,(ГОРОД ПЕВЕК).,Республика Саха (Якутия),другой,
2024-03-01,2024-03-02,Метель,(ГОРОД ПЕВЕК).,Республика Саха (Якутия),другой,
2024-05-12,2024-05-19,Половодье," (р. Лена, с. Дельгей, с.Хоринцы, н.п. 1-й Нерюктяйинск, с. Кыллых. с. Партизан, с. Крест-Кытыл, с. Хатас, с. Аппаны, , с. Тумул).",Республика Саха (Якутия),весенний,
2024-05-15,2024-05-16,Половодье,"(п.Зырянка
Верхнеколымский район).",Республика Саха (Якутия),весенний,
2024-05-31,2024-07-24,Чрезвычайная пожароопасность,(Томпонский район).,Республика Саха (Якутия),весенний,
2024-08-04,2024-08-23,Чрезвычайная пожароопасность,Кобяйский район).,Республика Саха (Якутия),другой,
