source_file,dimension,key,expected_count,actual_count,completeness_ratio,notes
data/mchs_events.csv,year,2023,,2,,count-only yearly events
data/mchs_events.csv,year,2024,,4,,count-only yearly events
data/mchs_events_lena_bank.csv,year,2008,,2,,count-only yearly events
data/mchs_events_lena_bank.csv,year,2010,,1,,count-only yearly events
data/mchs_events_lena_bank.csv,year,2011,,1,,count-only yearly events
data/mchs_events_lena_bank.csv,year,2012,,1,,count-only yearly events
data/mchs_events_lena_bank.csv,year,2013,,2,,count-only yearly events
data/mchs_events_lena_bank.csv,year,2015,,1,,count-only yearly events
data/mchs_events_lena_bank.csv,year,2017,,1,,count-only yearly events
data/mchs_events_lena_bank.csv,year,2018,,3,,count-only yearly events
data/mchs_events_lena_bank.csv,year,2020,,1,,count-only yearly events
data/mchs_events_lena_bank.csv,year,2021,,1,,count-only yearly events
data/mchs_events_lena_bank.csv,year,2022,,3,,count-only yearly events
data/mchs_events_lena_bank.csv,year,2023,,1,,count-only yearly events
